행정동코드_최종,0순위_비분동확정,1순위_지번정밀,2순위_도로명근사,3순위_텍스트추정,총거래수,근사배정_건수,근사배정_비중,행정동명,자치구,교통비_커버리지
1162058500,0,793,2331,289,3413,2620,0.7677,낙성대동,관악구,0.9487092049969356
1126060000,0,205,651,22,878,673,0.7665,중화제1동,중랑구,0.9501809246485828
1129068500,0,56,157,21,234,178,0.7607,길음제2동,성북구,0.9322201859246426
1126061000,0,401,1244,0,1645,1244,0.7562,중화제2동,중랑구,0.9316085519255598
1174056000,0,171,524,0,695,524,0.754,고덕제2동,강동구,0.8977188418375776
1165056000,0,561,1694,18,2273,1712,0.7532,반포1동,서초구,0.9017548574083732
1141064000,0,169,514,0,683,514,0.7526,홍제제3동,서대문구,0.9051101425537909
1168051000,0,185,554,5,744,559,0.7513,신사동,강남구,0.7759460600968392
1121583000,0,330,994,0,1324,994,0.7508,자양제2동,광진구,0.913423217784244
1159065100,0,226,677,0,903,677,0.7497,사당제5동,동작구,0.9588328105689984
1162072500,0,813,2430,0,3243,2430,0.7493,조원동,관악구,0.9450359986616996
1144063000,130,186,931,11,1258,942,0.7488,신수동,마포구,0.9384257045491304
1174059000,0,38,113,0,151,113,0.7483,암사제3동,강동구,0.948330978621455
1159052000,0,398,1163,0,1561,1163,0.745,노량진제2동,동작구,0.9253243580138336
1147051000,0,61,148,29,238,177,0.7437,목1동,양천구,0.9252484220386826
1171053100,0,159,452,5,616,457,0.7419,거여1동,송파구,0.9297764222570212
1129058000,0,15,42,1,58,43,0.7414,돈암제1동,성북구,0.9668891480895312
1138053000,0,441,1264,0,1705,1264,0.7413,불광제2동,은평구,0.9306591975182678
1144070000,0,324,928,0,1252,928,0.7412,망원제2동,마포구,0.9500128523745716
1147058000,0,125,358,0,483,358,0.7412,신월3동,양천구,0.9491657627253212
1153053000,0,685,1961,0,2646,1961,0.7411,구로제2동,구로구,0.8610359552058627
1159051000,232,460,1945,25,2662,1970,0.74,노량진제1동,동작구,0.86286958281604
1168053100,0,400,1136,0,1536,1136,0.7396,논현2동,강남구,0.8036729856482676
1129071500,0,170,482,0,652,482,0.7393,월곡제1동,성북구,0.9375615235734848
1159055000,0,444,1244,0,1688,1244,0.737,상도제3동,동작구,0.9617393171953268
1147062000,0,46,109,17,172,126,0.7326,신정1동,양천구,0.9465944871002482
1130563500,0,834,2277,0,3111,2277,0.7319,수유3동,강북구,0.9367786322391488
1144060000,0,509,1363,13,1885,1376,0.73,대흥동,마포구,0.9146151151234916
1168052100,0,790,2113,19,2922,2132,0.7296,논현1동,강남구,0.7896747838699514
1162076500,0,406,1087,0,1493,1087,0.7281,미성동,관악구,0.933278719956523
1141065500,0,66,174,0,240,174,0.725,홍제제2동,서대문구,0.9690279754144104
1174052500,0,77,201,2,280,203,0.725,상일제1동,강동구,0.8753461387340441
1126065500,0,504,1291,19,1814,1310,0.7222,망우본동,중랑구,0.8890199260534365
1126062000,0,438,1099,27,1564,1126,0.7199,묵제1동,중랑구,0.9256719563233454
1130559500,0,456,1169,1,1626,1170,0.7196,번1동,강북구,0.921972261494896
1111067000,0,99,245,7,351,252,0.7179,창신제1동,종로구,0.9110668410620236
1138059000,0,123,313,0,436,313,0.7179,응암제2동,은평구,0.9358167171977082
1132070000,0,296,728,0,1024,728,0.7109,방학제2동,도봉구,0.9349368114604298
1120052000,0,225,551,0,776,551,0.7101,왕십리제2동,성동구,0.9527533239193852
1168065500,0,171,411,7,589,418,0.7097,도곡1동,강남구,0.8973348057712895
1135064000,0,225,541,0,766,541,0.7063,상계2동,노원구,0.8919791246876981
1159054000,0,310,743,0,1053,743,0.7056,상도제2동,동작구,0.939074176750248
1162077500,0,395,945,0,1340,945,0.7052,난곡동,관악구,0.9358923092547352
1162056500,0,144,335,0,479,335,0.6994,성현동,관악구,0.931522633865398
1129065000,0,203,468,0,671,468,0.6975,정릉제4동,성북구,0.9206119080849784
1130562500,0,222,510,0,732,510,0.6967,수유2동,강북구,0.9239230387503726
1165054000,0,267,598,5,870,603,0.6931,잠원동,서초구,0.8766691884248101
1129077000,0,158,353,0,511,353,0.6908,장위제2동,성북구,0.9251654746769776
1174057000,0,735,1606,22,2363,1628,0.689,암사제1동,강동구,0.9263520047932764
1171053200,0,89,196,0,285,196,0.6877,거여2동,송파구,0.9204007581017908
1144069000,0,519,1103,21,1643,1124,0.6841,망원제1동,마포구,0.9307522407555208
1135066500,0,91,197,0,288,197,0.684,상계3.4동,노원구,0.8981912270052205
1111071000,0,676,1452,0,2128,1452,0.6823,숭인제2동,종로구,0.949119535016913
1132066000,0,300,631,10,941,641,0.6812,쌍문제1동,도봉구,0.94784041196834
1130566000,0,509,1084,0,1593,1084,0.6805,인수동,강북구,0.9068441059161472
1153074000,0,447,945,4,1396,949,0.6798,개봉제1동,구로구,0.9351243839780116
1129076000,0,215,449,4,668,453,0.6781,장위제1동,성북구,0.9235682203694624
1132052100,0,330,682,3,1015,685,0.6749,도봉제1동,도봉구,0.9258780272821469
1135061900,0,65,134,0,199,134,0.6734,중계본동,노원구,0.924049797065416
1162061500,0,1118,2289,0,3407,2289,0.6719,중앙동,관악구,0.9666293090208876
1165061000,0,342,689,0,1031,689,0.6683,방배2동,서초구,0.9350552915002198
1132067000,0,169,330,0,499,330,0.6613,쌍문제2동,도봉구,0.9264297241265412
1174070000,0,315,614,0,929,614,0.6609,둔촌제2동,강동구,0.8863349128975394
1174060000,0,661,1253,34,1948,1287,0.6607,천호제1동,강동구,0.9430388918935376
1144059000,198,13,410,0,621,410,0.6602,용강동,마포구,0.9190438957469922
1121574000,0,780,1505,10,2295,1515,0.6601,중곡제1동,광진구,0.9618856941137384
1141072000,0,598,1151,0,1749,1151,0.6581,북가좌제2동,서대문구,0.9275522915265088
1174066000,0,640,1221,0,1861,1221,0.6561,성내제3동,강동구,0.8870475095375164
1114064500,0,97,185,0,282,185,0.656,청구동,중구,0.9587808502950064
1138055100,0,244,452,9,705,461,0.6539,갈현제1동,은평구,0.9348367751481927
1141062000,0,205,368,8,581,376,0.6472,홍제제1동,서대문구,0.934429743514533
1168069000,0,402,714,0,1116,714,0.6398,개포4동,강남구,0.9146051809004934
1129063000,0,230,406,0,636,406,0.6384,정릉제2동,성북구,0.9386120673251848
1132068100,0,37,65,0,102,65,0.6373,쌍문제4동,도봉구,0.965740171812278
1147056000,0,405,699,8,1112,707,0.6358,신월1동,양천구,0.9216631161100204
1150053500,0,175,302,0,477,302,0.6331,등촌제3동,강서구,0.9025368343136326
1132069000,0,573,975,5,1553,980,0.631,방학제1동,도봉구,0.903471320937264
1168054500,0,94,157,1,252,158,0.627,압구정동,강남구,0.8077241033198881
1147057000,0,232,387,0,619,387,0.6252,신월2동,양천구,0.9632158436351465
1121585000,0,1446,2398,9,3853,2407,0.6247,구의제1동,광진구,0.9418940826329631
1171064700,0,122,203,0,325,203,0.6246,위례동,송파구,0.9076901043163323
1154567000,0,817,1355,1,2173,1356,0.624,시흥제1동,금천구,0.8641317812131771
1132051100,0,235,380,7,622,387,0.6222,창제1동,도봉구,0.9598293490748736
1153076000,0,254,418,0,672,418,0.622,개봉제3동,구로구,0.9367420373078368
1121587000,0,515,847,0,1362,847,0.6219,구의제3동,광진구,0.8957860800322034
1165058100,0,117,191,0,308,191,0.6201,반포4동,서초구,0.8638969314072367
1120066000,0,349,567,0,916,567,0.619,성수1가제2동,성동구,0.8724437677470178
1120065000,0,418,667,11,1096,678,0.6186,성수1가제1동,성동구,0.8906880424899593
1144061000,0,351,560,7,918,567,0.6176,염리동,마포구,0.9685420101512804
1144072000,0,629,994,18,1641,1012,0.6167,성산제1동,마포구,0.9448838104686376
1154569000,0,121,194,0,315,194,0.6159,시흥제3동,금천구,0.8839076799530151
1126059000,0,852,1362,0,2214,1362,0.6152,상봉제2동,중랑구,0.9400385519837278
1147064000,0,111,175,0,286,175,0.6119,신정3동,양천구,0.9200668850199072
