dong_code,dong_name,gu,status,reason,road_acc,road_n,fare_coverage,tx_count
11290590,돈암제2동,,ok,,,,0.9642206305036394,32.0
11290600,안암동,,ok,,,,0.8505264763756265,2925.0
11290610,보문동,,ok,,,,0.9378475847094166,1191.0
11290620,정릉제1동,,ok,,,,0.9588279128256414,253.0
11290630,정릉제2동,,ok,,,,0.9386120673251848,636.0
11290640,정릉제3동,,ok,,,,0.9191259576167156,1816.0
11290650,정릉제4동,,ok,,,,0.9206119080849784,671.0
11290660,길음제1동,,ok,,,,0.9386766778332386,110.0
11290685,길음제2동,,ok,,,,0.9322201859246426,234.0
11290705,종암동,,ok,,0.84,50.0,0.8603242748705179,1544.0
11290715,월곡제1동,,ok,,,,0.9375615235734848,652.0
11290725,월곡제2동,,ok,,0.8857,175.0,0.9109842142298552,1308.0
11290760,장위제1동,,ok,,,,0.9235682203694624,668.0
11290770,장위제2동,,ok,,,,0.9251654746769776,511.0
11290780,장위제3동,,ok,,,,0.9702121913590772,268.0
11305534,삼양동,,ok,,,,0.9384643997565244,670.0
11305535,미아동,,ok,,,,0.9319586533302244,1786.0
11305545,송중동,,ok,,,,0.8934409784112111,1278.0
11305555,송천동,,ok,,,,0.906279878411848,1223.0
11305595,번1동,,ok,,,,0.921972261494896,1626.0
11305603,번2동,,ok,,,,0.95217620007087,382.0
11305608,번3동,,ok,,,,0.9209778659574684,172.0
11305615,수유1동,,ok,,,,0.925587926238746,1692.0
11305625,수유2동,,ok,,,,0.9239230387503726,732.0
11305635,수유3동,,ok,,,,0.9367786322391488,3111.0
11305645,우이동,,ok,,0.6327,49.0,0.9142378402629612,841.0
11305660,인수동,,ok,,,,0.9068441059161472,1593.0
11320511,창제1동,,ok,,,,0.9598293490748736,622.0
11320512,창제2동,,ok,,,,0.9354664591677656,1086.0
11320513,창제3동,,ok,,,,0.9198760061851852,470.0
11320514,창제4동,,ok,,,,0.9160545106182828,763.0
11320515,창제5동,,ok,,,,0.944563460825126,788.0
11320521,도봉제1동,,ok,,,,0.9258780272821469,1015.0
11320522,도봉제2동,,ok,,,,0.916201327069557,778.0
11320660,쌍문제1동,,ok,,,,0.94784041196834,941.0
11320670,쌍문제2동,,ok,,,,0.9264297241265412,499.0
11320680,쌍문제3동,,ok,,,,0.9630157846043512,619.0
11320681,쌍문제4동,,ok,,,,0.965740171812278,102.0
11320690,방학제1동,,ok,,,,0.903471320937264,1553.0
11320700,방학제2동,,ok,,,,0.9349368114604298,1024.0
11350560,월계1동,,ok,,,,0.9076770452876048,1321.0
11350570,월계2동,,ok,,,,0.9375870580648268,285.0
11350595,공릉1동,,ok,,,,0.9054935266162208,3417.0
11350600,공릉2동,,ok,,,,0.8217585508920127,3012.0
11350611,하계1동,,ok,,,,0.9200847508295856,358.0
11350619,중계본동,,ok,,,,0.924049797065416,199.0
11350621,중계1동,,ok,,,,0.9567926588937804,37.0
11350624,중계4동,,ok,,,,0.9346469179868718,71.0
11350625,중계2.3동,,ok,,,,0.9329400793161609,104.0
11350630,상계1동,,ok,,,,0.8955637628758655,1083.0
11350640,상계2동,,ok,,,,0.8919791246876981,766.0
11350665,상계3.4동,,ok,,,,0.8981912270052205,288.0
11350670,상계5동,,ok,,,,0.937936469204737,803.0
11350695,상계6.7동,,ok,,,,0.8856465682418645,150.0
11350720,상계10동,,ok,,,,0.9631824603446378,50.0
11380520,불광제1동,,ok,,,,0.9333517837916556,1072.0
11380530,불광제2동,,ok,,,,0.9306591975182678,1705.0
11380551,갈현제1동,,ok,,,,0.9348367751481927,705.0
11380552,갈현제2동,,ok,,,,0.9458603027578188,1075.0
11380580,응암제1동,,ok,,,,0.9425303872493178,1638.0
11380590,응암제2동,,ok,,,,0.9358167171977082,436.0
11380600,응암제3동,,ok,,,,0.9333445812861684,1777.0
11380625,역촌동,,ok,,0.8413,271.0,0.9080432221330408,2403.0
11380631,신사제1동,,ok,,,,0.947719661578296,1168.0
11380632,신사제2동,,ok,,,,0.9539589462515268,669.0
11380640,증산동,,ok,,0.75,4.0,0.9601885906390836,305.0
11380650,수색동,,ok,,,,0.921493799478838,181.0
11380690,진관동,,ok,,,,0.8068724832897818,3083.0
11410520,천연동,,ok,,0.5385,26.0,0.933812481123697,497.0
11410555,북아현동,,ok,,,,0.9608626928708772,485.0
11410565,충현동,,ok,,0.625,16.0,0.8820232235400614,1076.0
11410585,신촌동,,ok,,0.9835,243.0,0.7571512334556362,8900.0
11410615,연희동,,ok,,0.9037,187.0,0.8532389195060617,5430.0
11410620,홍제제1동,,ok,,,,0.934429743514533,581.0
11410640,홍제제3동,,ok,,,,0.9051101425537909,683.0
11410655,홍제제2동,,ok,,,,0.9690279754144104,240.0
11410660,홍은제1동,,ok,,,,0.9379944050370784,517.0
11410685,홍은제2동,,ok,,,,0.9517548941330968,1138.0
11410690,남가좌제1동,,ok,,,,0.9492587358998686,53.0
11410700,남가좌제2동,,ok,,,,0.9142736647114412,2269.0
11410710,북가좌제1동,,ok,,,,0.929576377004206,141.0
11410720,북가좌제2동,,ok,,,,0.9275522915265088,1749.0
11440555,아현동,,ok,,,,0.9336332400159028,392.0
11440565,공덕동,,ok,,1.0,59.0,0.918817610117496,2972.0
11440585,도화동,,ok,,,,0.9364728172629632,864.0
11440590,용강동,,ok,,0.3333,6.0,0.9190438957469922,621.0
11440600,대흥동,,ok,,,,0.9146151151234916,1885.0
11440610,염리동,,ok,,,,0.9685420101512804,918.0
11440630,신수동,,ok,,0.5588,68.0,0.9384257045491304,1258.0
11440660,서교동,,ok,,0.5645,287.0,0.8198592349981271,4454.0
11440690,망원제1동,,ok,,,,0.9307522407555208,1643.0
11440700,망원제2동,,ok,,,,0.9500128523745716,1252.0
11440710,연남동,,ok,,0.5043,345.0,0.9260088696204112,2807.0
11440720,성산제1동,,ok,,,,0.9448838104686376,1641.0
11440730,성산제2동,,ok,,0.4483,29.0,0.9115261010112432,5114.0
11440740,상암동,,ok,,1.0,29.0,0.7286245434844654,2988.0
11470510,목1동,,ok,,,,0.9252484220386826,238.0
11470520,목2동,,ok,,,,0.9520460049524372,1849.0
11470530,목3동,,ok,,,,0.9588768841867232,1387.0
11470540,목4동,,ok,,,,0.948069875610636,940.0
11470550,목5동,,ok,,,,0.9142043783655736,422.0
11470560,신월1동,,ok,,,,0.9216631161100204,1112.0
11470570,신월2동,,ok,,,,0.9632158436351465,619.0
11470580,신월3동,,ok,,,,0.9491657627253212,483.0
11470590,신월4동,,ok,,,,0.9706609528379953,320.0
11470600,신월5동,,ok,,,,0.9540124664317734,495.0
11470610,신월6동,,ok,,,,0.9828778119200052,75.0
11470611,신월7동,,ok,,,,0.9231022126907892,475.0
11470620,신정1동,,ok,,,,0.9465944871002482,172.0
11470630,신정2동,,ok,,,,0.9407642392612632,188.0
11470640,신정3동,,ok,,,,0.9200668850199072,286.0
11470650,신정4동,,ok,,,,0.917289001482632,2800.0
11470670,신정6동,,ok,,,,0.9785900156838474,172.0
11470680,신정7동,,ok,,,,0.926771607958744,176.0
11500510,염창동,,ok,,0.7037,27.0,0.9093526168989272,943.0
11500520,등촌제1동,,ok,,,,0.9461993939185273,2566.0
11500530,등촌제2동,,ok,,,,0.947419166803825,1000.0
11500535,등촌제3동,,ok,,,,0.9025368343136326,477.0
11500540,화곡제1동,,ok,,,,0.9389358644859808,3759.0
11500550,화곡제2동,,ok,,,,0.9740418028287642,844.0
11500560,화곡제3동,,ok,,,,0.9486051561313672,1189.0
11500570,화곡제4동,,ok,,,,0.9519430007327522,1237.0
11500590,화곡본동,,ok,,,,0.9517799410763644,2910.0
11500591,화곡제6동,,ok,,,,0.9162841048288748,2535.0
11500593,화곡제8동,,ok,,,,0.9499628570970792,1547.0
11500603,가양제1동,,ok,,,,0.8040653184990413,10680.0
11500604,가양제2동,,ok,,,,0.9281950133071462,688.0
11500605,가양제3동,,ok,,,,0.9505628509601995,119.0
11500611,발산제1동,,ok,,,,0.8872235620613934,538.0
11500615,우장산동,,ok,,,,0.942166848276508,1305.0
