거주동코드,업무지구,표면주거비_원,편도통근시간_분,월교통비_원,월통근시간비용_원,총주거통근부담_원,업무동포착수,거주동명,행정동명,시군구명,권역,행정동_유형,4사분면_주거통근,4사분면_부담구조,청년1인세대_비율,추천순위
1138060000,상암,565753.9392234102,20.1,63000.0,145202.4,773956.3392234102,1,응암3동,응암제3동,은평구,서북권,저주거비·지역연계형,저주거비·고통근부담,고부담·광역분산,17.17,5.0
1138065000,상암,549502.7624309391,15.9,126000.0,114861.6,790364.3624309391,1,수색동,수색동,은평구,서북권,고비용 통근부담형,저주거비·고통근부담,고부담·지역집중,8.7,6.0
1150064000,상암,534896.191787107,27.0,69300.0,195047.99999999997,799244.191787107,1,방화2동,방화제2동,강서구,서남권,저주거비·지역연계형,저주거비·고통근부담,고부담·지역집중,20.62,7.0
1147056000,상암,527961.0791366906,31.500000000000004,63000.0,227556.00000000003,818517.0791366906,1,신월1동,신월1동,양천구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,11.24,8.0
1153073000,상암,419935.5355555556,46.2,67200.0,333748.80000000005,820884.3355555558,1,고척2동,고척제2동,구로구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,8.09,9.0
1138062500,상암,604303.8562907475,21.8,63000.0,157483.2,824787.0562907476,1,역촌동,역촌동,은평구,서북권,고비용 통근부담형,저주거비·고통근부담,고부담·지역집중,13.83,10.0
1156065000,여의도,477224.8641304348,14.9,63000.0,107637.60000000002,647862.4641304348,1,신길3동,신길제3동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,13.52,1.0
1156067000,여의도,465914.0893470791,17.0,63000.00000000001,122808.0,651722.0893470792,1,신길5동,신길제5동,영등포구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,10.53,2.0
1156051500,여의도,508509.4030365769,17.2,63000.0,124252.79999999999,695762.203036577,1,영등포본동,영등포본동,영등포구,서남권,근접통근 균형형,저주거비·저통근부담,저부담·지역집중,16.03,3.0
1162074500,여의도,472036.5682137834,25.5,65100.0,184212.00000000003,721348.5682137834,1,삼성동,삼성동,관악구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·광역분산,7.46,4.0
1159067000,여의도,516698.38060224085,20.0,63000.0,144480.0,724178.3806022408,1,신대방1동,신대방제1동,동작구,서남권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,17.94,5.0
1156069000,여의도,584138.8888888889,11.0,63000.00000000001,79464.0,726602.888888889,1,신길7동,신길제7동,영등포구,서남권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,12.69,6.0
1159066000,여의도,587038.0370632671,10.8,63000.0,78019.20000000001,728057.2370632669,1,대방동,대방동,동작구,서남권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,25.83,7.0
1153073000,여의도,419935.5355555556,34.2,63000.0,247060.80000000002,729996.3355555556,1,고척2동,고척제2동,구로구,서남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,8.09,8.0
1159068000,여의도,555361.5226337449,16.4,63000.0,118473.59999999999,736835.1226337448,1,신대방2동,신대방제2동,동작구,서남권,광역분산 통근형,저주거비·고통근부담,저부담·광역분산,28.81,9.0
1162066500,여의도,489648.709315376,26.4,62999.99999999999,190713.6,743362.309315376,1,서림동,서림동,관악구,서남권,저주거비·지역연계형,저주거비·고통근부담,저부담·광역분산,44.37,10.0
1171051000,잠실,478765.4867256637,21.081084826139815,68482.69820863222,152289.75678403405,699537.94171833,2,풍납1동,풍납1동,송파구,동남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,9.41,1.0
1171054000,잠실,469203.95435244153,30.512571060721996,63000.0,220422.81334265572,752626.7676950973,2,마천1동,마천1동,송파구,동남권,저주거비·지역연계형,저주거비·고통근부담,저부담·지역집중,7.79,2.0
1171053200,잠실,472472.2222222222,30.681357586886122,63000.0,221642.12720766533,757114.3494298875,3,거여2동,거여2동,송파구,동남권,저주거비·지역연계형,저주거비·고통근부담,저부담·지역집중,6.55,3.0
1174069000,잠실,545000.0,20.772541480368805,68644.17975885028,150060.83965418424,763705.0194130345,2,둔촌1동,둔촌제1동,강동구,동남권,저주거비·지역연계형,저주거비·고통근부담,고부담·광역분산,6.73,4.0
1171055000,잠실,484451.9060283688,30.100373231482983,63000.00000000001,217445.09622423307,764897.0022526019,3,마천2동,마천2동,송파구,동남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,7.58,5.0
1171052000,잠실,553032.586850416,21.318958909542705,63000.0,154008.1591625365,770040.7460129525,2,풍납2동,풍납2동,송파구,동남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,18.56,6.0
1129058000,잠실,432212.64367816097,37.4,73500.0,270177.6,775890.243678161,1,돈암1동,돈암제1동,성북구,동북권,광역분산 통근형,저주거비·저통근부담,저부담·광역분산,7.48,7.0
1174064000,잠실,598709.8393574298,18.382234038650953,63000.0,132793.2586952145,794503.0980526443,2,성내1동,성내제1동,강동구,동남권,저주거비·지역연계형,저주거비·저통근부담,저부담·지역집중,13.4,8.0
1111068000,잠실,484720.4861111111,35.4,73500.0,255729.59999999998,813950.0861111111,1,창신2동,창신제2동,종로구,도심권,근접통근 균형형,저주거비·저통근부담,저부담·광역분산,10.0,9.0
1174058000,잠실,565426.6017842661,26.341806745268023,63630.557965450425,190293.21192781618,819350.3716775327,2,암사2동,암사제2동,강동구,동남권,저주거비·지역연계형,저주거비·고통근부담,저부담·지역집중,13.44,10.0
