거주동 코드,거주동 이름,대표_편도통근시간_분,대표_편도통근거리_km,대표_편도교통비_원,월_통근시간_분,월_통근시간_시간,월_통근교통비_원,월_통근시간_기회비용_원,주요_출근목적지_목록,주요목적지_누적출근비중,거주동_전체_출근량,선택목적지_출근량합,API_경로포함률,교통비_산출포함률,내부통근비중,대표_편도도보시간_분,도보시간_산출포함률,대표_편도환승횟수,환승횟수_산출포함률,월평균_출근일수_가정,시간가치_원_시간
11500611,발산1동,28.1176654418,7.2584446147952,1738.7133706187874,1180.9419485556,19.68236580926,73025.96156598907,203122.0151515632,"가양1동, 발산1동, 여의동, 등촌3동, 공항동",0.8014547899275776,1662827.02,1332680.68,1.0,0.8872235620613934,0.11277643793860659,9.753591243677073,0.8872235620613934,0.6658612514753328,0.8872235620613934,21.0,10320.0
11500615,우장산동,31.704017802,8.676875390152,1659.0511216017271,1331.568747684,22.192812461400003,69680.14710727254,229029.82460164803,"가양1동, 여의동, 발산1동, 우장산동, 등촌3동",0.8013060743680507,1615609.38,1294597.61,1.0,0.942166848276508,0.057833151723491905,8.010618054202881,0.942166848276508,0.7030017230068626,0.942166848276508,21.0,10320.0
11500620,공항동,29.5919185418,8.447734018316,1829.9079033055853,1242.8605787555998,20.714342979259996,76856.13193883459,213772.01954596315,"공항동, 가양1동, 발산1동, 여의동, 방화2동",0.8012873541151097,1344685.18,1077479.23,1.0,0.865154839225996,0.13484516077400396,8.490808291505463,0.865154839225996,0.6490438942587883,0.865154839225996,21.0,10320.0
11500630,방화1동,32.7201153984,9.3731810883204,1631.0721372025616,1374.2448467328,22.904080778879997,68505.02976250759,236370.11363804157,"가양1동, 방화1동, 여의동, 공항동, 발산1동",0.8012791429165801,1722683.19,1380350.11,1.0,0.9069346761598039,0.09306532384019586,8.34731253575299,0.9069346761598039,0.4502235205100275,0.9069346761598039,21.0,10320.0
11500640,방화2동,30.2698551412,9.6062871181408,1649.783545167819,1271.3339159304,21.18889859884,69290.9088970484,218669.4335400288,"가양1동, 방화2동, 방화1동, 공항동, 여의동",0.8022691488749878,1068831.59,857490.61,1.0,0.9069305610238695,0.0930694389761306,8.614047650065377,0.9069305610238695,0.7043287934230466,0.9069305610238695,21.0,10320.0
11500641,방화3동,32.828298522,11.2514605983667,1669.745177897885,1378.788537924,22.9798089654,70129.29747171116,237151.628522928,"가양1동, 여의동, 방화3동, 방화1동, 공항동",0.8027374117715405,884085.48,709688.49,1.0,0.9214244125616298,0.07857558743837033,7.350957490934227,0.9214244125616298,0.7764255079030413,0.9214244125616298,21.0,10320.0
11530510,신도림동,31.8125416834,8.596571407344,1536.339005123871,1336.1267507027999,22.268779178379997,64526.23821520258,229813.80112088157,"신도림동, 여의동, 가산동, 구로2동, 구로3동",0.8028100224627983,1896744.98,1522725.88,1.0,0.9012150762158191,0.09878492378418104,9.202156732591845,0.9012150762158191,0.6531008007622064,0.9012150762158191,21.0,10320.0
11530520,구로1동,33.6231693736,8.9687723468404,1566.6463968223259,1412.1731136912,23.53621856152,65799.14866653769,242893.77555488638,"가산동, 구로2동, 구로1동, 여의동, 구로3동",0.8002661536890511,1015015.05,812282.19,1.0,0.9384877193971224,0.06151228060287768,8.627895739541483,0.9384877193971224,1.1389954042232966,0.9384877193971224,21.0,10320.0
11530530,구로2동,28.961777987999998,6.7821110344816,1618.6108860269358,1216.394675496,20.2732445916,67981.6572131313,209219.88418531202,"구로2동, 가산동, 구로5동, 구로3동, 여의동",0.8006063547579793,1127185.02,902431.49,1.0,0.8610359552058627,0.13896404479413724,7.371598633692277,0.8610359552058627,0.5839512150422532,0.8610359552058627,21.0,10320.0
11530540,구로3동,25.608286468,6.6830098626425,1663.6205582278144,1075.548031656,17.9258005276,69872.0634455682,184994.261444832,"구로3동, 가산동, 역삼1동, 여의동, 구로4동",0.8006290092507816,1456032.64,1165741.97,1.0,0.6881735501038879,0.3118264498961121,8.323028847433712,0.6881735501038879,0.7411311466910264,0.6881735501038879,21.0,10320.0
11530550,구로4동,29.5132499578,6.8227595648328,1503.0792756999406,1239.5564982276,20.65927497046,63129.329579397505,213203.7176951472,"구로3동, 가산동, 구로4동, 구로2동, 구로5동",0.8000985342130665,800980.67,640863.46,1.0,0.9295843610743544,0.07041563892564572,11.853884919641773,0.9295843610743544,0.4656491366275691,0.9295843610743544,21.0,10320.0
11530560,구로5동,31.7399363308,8.4538317776474,1555.2364662722173,1333.0773258936,22.217955431559997,65319.93158343313,229289.30005369917,"구로5동, 가산동, 구로2동, 여의동, 구로3동",0.8005925818703955,1776308.14,1422099.1199999999,1.0,0.8840256296621576,0.11597437033784255,7.152816280839815,0.8840256296621576,0.9533723257916781,0.8840256296621576,21.0,10320.0
11530595,가리봉동,25.9982749877,5.8628217994935,1537.6671865188412,1091.9275494834,18.19879249139,64582.02183379133,187811.5385111448,"가산동, 구로3동, 여의동, 역삼1동, 구로2동",0.8023681463729454,482427.95,387084.82,1.0,0.9769058884820128,0.023094111517987192,9.006355059246648,0.9769058884820128,0.25784699922792975,0.9769058884820128,21.0,10320.0
11530720,고척1동,30.223895202799998,7.8238358302612,1559.108802166432,1269.4035985176,21.15672664196,65482.569690990145,218337.4189450272,"고척1동, 여의동, 가산동, 구로2동, 구로3동",0.8006910739739214,1355160.28,1085064.74,1.0,0.8978079593665536,0.10219204063344645,7.637089087927992,0.8978079593665536,0.7264991248963657,0.8978079593665536,21.0,10320.0
11530730,고척2동,28.207286822,7.5361692606552,1558.9056707826828,1184.706046524,19.745100775399997,65474.03817287268,203769.440002128,"가산동, 고척1동, 여의동, 고척2동, 개봉1동",0.8027195834756415,795193.83,638317.66,1.0,0.9517261201891233,0.04827387981087661,6.482525811102042,0.9517261201891233,0.7437618608176898,0.9517261201891233,21.0,10320.0
11530740,개봉1동,31.5216053198,8.781938832368,1609.9846140253558,1323.9074234316,22.065123723859998,67619.35378906495,227712.07683023516,"가산동, 개봉1동, 여의동, 고척1동, 구로2동",0.8005549189130768,1603272.08,1283507.35,1.0,0.9351243839780115,0.06487561602198849,6.737868927126037,0.9351243839780115,1.045031624563141,0.9351243839780115,21.0,10320.0
11530750,개봉2동,34.1304098735,9.790097259136001,1685.3250329792563,1433.477214687,23.89128691145,70783.65138512876,246558.080926164,"가산동, 여의동, 개봉2동, 구로3동, 고척1동",0.8015164307722423,1236678.94,991218.49,1.0,0.95138591492578,0.04861408507422012,7.145722177599601,0.95138591492578,1.0073868972120168,0.95138591492578,21.0,10320.0
11530760,개봉3동,36.7209375684,10.3063123851308,1565.8925146945478,1542.2793778727998,25.704656297879996,65767.48561717101,265272.05299412156,"가산동, 개봉3동, 여의동, 구로3동, 개봉2동",0.8005815507192934,809281.09,647895.51,1.0,0.9367420373078368,0.06325796269216313,6.970741168859729,0.9367420373078368,1.1468596796129564,0.9367420373078368,21.0,10320.0
11530770,오류1동,34.8481424142,10.1397784722403,1610.2756198825925,1463.6219813963999,24.393699689939996,67631.57603506888,251742.98080018075,"가산동, 여의동, 오류1동, 구로3동, 종로1.2.3.4가동",0.8016837594317899,1114482.25,893462.32,1.0,0.94490352989928,0.055096470100720094,7.011211449278848,0.94490352989928,0.6662252177214323,0.94490352989928,21.0,10320.0
