근무동코드,분석후보수,중앙값_10만원절감당_통근시간증가_분,평균_10만원절감당_통근시간증가_분,중앙값_10만원절감당_월교통비증가_원,중앙값_10만원절감당_시간비용증가_원,중앙값_실질순절감액_원,월세착시비율
1121573000,6,7.655800821240083,8.741221023103343,9792.730000301044,55305.50513263837,63457.130697111796,0.3333333333333333
1121574000,5,3.1717367428579992,1.1446093662522832,1537.3149702741657,22912.62623040618,106939.658642848,0.0
1121575000,3,-4.199300593063176,-4.87593948050203,0.0,-30335.74748428839,164498.693617653,0.0
1121576000,2,7.579779302981381,7.579779302981381,1128.639208357036,54756.32568473747,52364.810951434876,0.5
1121577000,3,0.07389965135982071,-1.6826410204054447,0.0,533.8510814233545,134596.23569030513,0.0
1121578000,6,13.227802074043002,15.400710240070671,1580.9534210912839,95557.64218288662,1055.734328393737,0.5
1121581000,6,3.441226216354545,3.4014070028560766,1566.108863440198,24859.418186945222,101013.15988076472,0.0
1121582000,4,-0.10600657100803879,-0.810623147311198,0.0,-765.7914689620875,117372.1421299657,0.0
1121583000,6,12.817544010652409,12.557317298218242,2918.9401722791827,92593.93793295298,6016.085441634757,0.5
1121584000,7,7.809603225020388,5.791040475282477,1607.0014225053021,56416.57369754726,65691.6470916706,0.14285714285714285
1121584700,10,15.993361945688278,14.211765317232187,3686.887859242591,115536.04669565211,-30410.55684686656,0.6
1121585000,2,9.79507630201213,9.79507630201213,0.0,70759.63120573563,33065.90889334613,0.0
1121586000,6,6.854126827740174,9.753323975331652,1942.8646881883008,49514.21220359502,59077.52715191853,0.3333333333333333
1121587000,41,18.106285702916278,17.22571527234119,4513.139463041445,130799.80791786718,-61609.36090432861,0.7073170731707317
1123051500,8,2.383094307226822,1.1523949242552116,-1278.59720174026,17215.47327540658,107375.621259846,0.0
1123053600,20,13.743028053549454,13.43422002329127,0.0,99279.63465884124,4.833832268472179,0.5
1123054500,16,8.554712128276929,7.810039424261443,-1757.7291714851362,61799.24041467253,58950.846553477895,0.1875
1123056000,22,12.89315740903088,13.001926753635,0.0,93140.16912283908,5866.750792417006,0.4090909090909091
1123057000,1,23.817667056777996,23.817667056777996,0.0,172058.82681816423,-75030.81224665599,1.0
1123060000,9,26.955666850749143,28.100157770544868,0.0,194727.73732981182,-120960.15099800413,1.0
1123061000,3,0.8717457269998286,2.0258432931254755,-1865.7738733307824,6297.491131846746,113527.39699559692,0.0
1123065000,37,15.888031952376371,14.300337960667788,-1162.525785647722,114775.14282396689,-13151.249685258488,0.5675675675675675
1123066000,9,9.862362181108905,10.338616698506344,-2737.9625244266126,71245.70439633072,42245.71835668097,0.3333333333333333
1123070500,8,16.882499231814833,14.857979860381006,-5055.445663962272,121959.17445063037,-26557.234827211767,0.625
1123071000,3,0.29083921749809033,-0.11359508079866602,0.0,2101.022507206236,106099.10230179026,0.0
1123072000,1,1.084913695079591,1.084913695079591,0.0,7837.416533254959,110433.99954314252,0.0
1123073000,1,4.256199880696856,4.256199880696856,0.0,30746.787938154077,82982.79954314252,0.0
1123074000,2,-1.7729500800056062,-1.7729500800056062,1923.443968451381,-12807.79137796052,121175.2656609601,0.0
1126056500,2,2.9028622394761587,2.9028622394761587,-1707.226591198697,20970.27681797577,83676.91560403418,0.0
1126057500,2,10.146260021331484,10.146260021331484,1996.0817336771274,73296.58239409864,28197.154679484076,0.5
1126058000,4,10.948891410981116,11.415245539362667,1961.7576853321862,79094.79155292755,20185.79214586354,0.5
1126059000,8,20.44441748817093,18.693696562052136,0.0,147690.4719345468,-70462.93296285995,0.75
1126061000,1,24.077947073678168,24.077947073678168,5745.873733491381,173939.08966025108,-87369.70087846616,1.0
1126062000,1,15.53960403561708,15.53960403561708,1231.4403198036177,112258.09955329778,-23003.98425969234,1.0
1126063000,3,0.6666818635699188,2.8931152903462007,0.0,4816.109782429087,102040.80654229742,0.0
1126065500,3,-4.065251015360505,0.6518673382259094,2032.625507680251,-29367.373334964286,131555.45348954716,0.0
1126068000,9,16.120217150435565,16.586316167538254,3728.3866789064186,116452.44869474653,-16737.997762427956,0.6666666666666666
1126069000,2,14.634775950995017,14.634775950995017,0.0,105721.621469988,-8743.807854136467,0.5
1129052500,11,5.909450801695409,5.9633155017119615,0.0,42689.872591447616,77802.02893722648,0.09090909090909091
1129055500,10,3.518765723029716,4.824978720451901,656.6268178151917,25419.563583166695,87823.19994907943,0.1
1129057500,3,9.684149203671906,6.693926347087952,0.0,69958.29384732587,32882.81484733871,0.3333333333333333
1129058000,2,9.567305900034844,9.567305900034844,1510.7904524402527,69114.21782185171,43359.06021721659,0.5
