행정기관코드,시도,자치구,행정동,관측연도수,관측시작연도,관측종료연도,전체세대수,청년1인세대수,청년1인세대비중,저표본_여부
1144058500,서울특별시,마포구,도화동,3,2023,2025,27500.0,4642,16.88,일반
1144069000,서울특별시,마포구,망원제1동,3,2023,2025,29913.0,7909,26.44,일반
1144070000,서울특별시,마포구,망원제2동,3,2023,2025,24633.0,4615,18.74,일반
1144074000,서울특별시,마포구,상암동,3,2023,2025,37852.0,7559,19.97,일반
1144065500,서울특별시,마포구,서강동,3,2023,2025,36161.0,11354,31.4,일반
1144066000,서울특별시,마포구,서교동,3,2023,2025,44776.0,19863,44.36,일반
1144072000,서울특별시,마포구,성산제1동,3,2023,2025,28294.0,7275,25.71,일반
1144073000,서울특별시,마포구,성산제2동,3,2023,2025,58170.0,16193,27.84,일반
1144063000,서울특별시,마포구,신수동,3,2023,2025,29870.0,5949,19.92,일반
1144055500,서울특별시,마포구,아현동,3,2023,2025,36308.0,4801,13.22,일반
1144071000,서울특별시,마포구,연남동,3,2023,2025,24662.0,9104,36.92,일반
1144061000,서울특별시,마포구,염리동,3,2023,2025,23013.0,5067,22.02,일반
1144059000,서울특별시,마포구,용강동,3,2023,2025,27367.0,3869,14.14,일반
1144068000,서울특별시,마포구,합정동,3,2023,2025,26918.0,8756,32.53,일반
1141069000,서울특별시,서대문구,남가좌제1동,3,2023,2025,18340.0,1292,7.04,일반
1141070000,서울특별시,서대문구,남가좌제2동,3,2023,2025,39518.0,7114,18.0,일반
1141071000,서울특별시,서대문구,북가좌제1동,3,2023,2025,20112.0,1238,6.16,일반
1141072000,서울특별시,서대문구,북가좌제2동,3,2023,2025,43126.0,6366,14.76,일반
1141055500,서울특별시,서대문구,북아현동,3,2023,2025,20964.0,2986,14.24,일반
1141058500,서울특별시,서대문구,신촌동,3,2023,2025,44006.0,28326,64.37,일반
1141061500,서울특별시,서대문구,연희동,3,2023,2025,55076.0,19786,35.92,일반
1141052000,서울특별시,서대문구,천연동,3,2023,2025,22526.0,2364,10.49,일반
1141056500,서울특별시,서대문구,충현동,3,2023,2025,29614.0,7181,24.25,일반
1141066000,서울특별시,서대문구,홍은제1동,3,2023,2025,29405.0,2652,9.02,일반
1141068500,서울특별시,서대문구,홍은제2동,3,2023,2025,38452.0,6395,16.63,일반
1141062000,서울특별시,서대문구,홍제제1동,3,2023,2025,32942.0,4024,12.22,일반
1141065500,서울특별시,서대문구,홍제제2동,3,2023,2025,16269.0,1323,8.13,일반
1141064000,서울특별시,서대문구,홍제제3동,3,2023,2025,23661.0,2456,10.38,일반
1165066000,서울특별시,서초구,내곡동,3,2023,2025,20980.0,2063,9.83,일반
1165056000,서울특별시,서초구,반포1동,3,2023,2025,42826.0,9129,21.32,일반
1165057000,서울특별시,서초구,반포2동,3,2023,2025,24419.0,557,2.28,주의
1165058000,서울특별시,서초구,반포3동,3,2023,2025,24410.0,837,3.43,주의
1165058100,서울특별시,서초구,반포4동,3,2023,2025,20615.0,1777,8.62,일반
1165055000,서울특별시,서초구,반포본동,3,2023,2025,205.0,21,10.24,주의
1165060000,서울특별시,서초구,방배1동,3,2023,2025,22178.0,3986,17.97,일반
1165061000,서울특별시,서초구,방배2동,3,2023,2025,23168.0,3309,14.28,일반
1165062000,서울특별시,서초구,방배3동,3,2023,2025,17119.0,1293,7.55,일반
1165062100,서울특별시,서초구,방배4동,3,2023,2025,28865.0,4344,15.05,일반
1165059000,서울특별시,서초구,방배본동,3,2023,2025,23197.0,2631,11.34,일반
